Crop,AgroEcological Zone,Additional information,Early Sowing,,Later Sowing,,All year,Sowing rate,,Growing period,,Early harvest,,Late harvest,,AgroEcological Zone Description,AgroEcological Zone Practices,AgroEcological Zone Units,Comments En,Comments ES,Comments FR,Comments ZH,Comments AR,Comments RU
Sorghum,Eastern Plateau & Eastern Savanna,"Driest region of Rwanda, especially Eastern Savanna and central Bugesera. Eastern Savanna is mostly used for pasture. Main limiting factors are lack of rainfall and long dry seasons. Varying land use potentials, where the most suitable cropland is found in the eastern valleys and around the Muhazi lake. Careful management to prevent erosion and restore soil nutrient balance is required to ensure sustainable crop production. Irrigation techniques due to long dry season are necessary and drainage systems are required in valleys with poor drainage. Intercropping is a common practice. Most important crops: banana, cassava, beans and maize.",15,9,15,10,no,5-10,kg/ha,90-180,Days,15,1,15,4,"Altitude varies between 1,250 and 1,600m. Annual rainfall is higher in the Eastern Plateau and Bugesera, ranging between 900 and 1,000mm, while in the Eastern Savanna annual rainfall remains below 900mm and is more erratic of nature. The average temperature is 21 ̊C and the dry season lasts for three to four months. Soils in the Eastern Plateau are humus-rich on the hill tops, but heavily eroded on the steep slopes that characterize the Eastern Plateau. The most suitable soils for agriculture in the Eastern Savanna are found in the large valleys that intersect the sloping landscape of the East.","Driest region of Rwanda, especially Eastern Savanna and central Bugesera. Eastern Savanna is mostly used for pasture. Main limiting factors are lack of rainfall and long dry seasons. Varying land use potentials, where the most suitable cropland is found in the eastern valleys and around the Muhazi lake. Careful management to prevent erosion and restore soil nutrient balance is required to ensure sustainable crop production. Irrigation techniques due to long dry season are necessary and drainage systems are required in valleys with poor drainage. Intercropping is a common practice. Most important crops: banana, cassava, beans and maize.","Nyarugenge, Nyagatare,Gasabo, Gatsibo, Kicukiro, Rwamagana, Ngoma, Kirehe, Kayonza, Bugesera",,,,,,
Sorghum,Eastern Plateau & Eastern Savanna,"Driest region of Rwanda, especially Eastern Savanna and central Bugesera. Eastern Savanna is mostly used for pasture. Main limiting factors are lack of rainfall and long dry seasons. Varying land use potentials, where the most suitable cropland is found in the eastern valleys and around the Muhazi lake. Careful management to prevent erosion and restore soil nutrient balance is required to ensure sustainable crop production. Irrigation techniques due to long dry season are necessary and drainage systems are required in valleys with poor drainage. Intercropping is a common practice. Most important crops: banana, cassava, beans and maize.",2,12,31,1,no,5-10,kg/ha,90-180,Days,15,4,31,7,"Altitude varies between 1,250 and 1,600m. Annual rainfall is higher in the Eastern Plateau and Bugesera, ranging between 900 and 1,000mm, while in the Eastern Savanna annual rainfall remains below 900mm and is more erratic of nature. The average temperature is 21 ̊C and the dry season lasts for three to four months. Soils in the Eastern Plateau are humus-rich on the hill tops, but heavily eroded on the steep slopes that characterize the Eastern Plateau. The most suitable soils for agriculture in the Eastern Savanna are found in the large valleys that intersect the sloping landscape of the East.","Driest region of Rwanda, especially Eastern Savanna and central Bugesera. Eastern Savanna is mostly used for pasture. Main limiting factors are lack of rainfall and long dry seasons. Varying land use potentials, where the most suitable cropland is found in the eastern valleys and around the Muhazi lake. Careful management to prevent erosion and restore soil nutrient balance is required to ensure sustainable crop production. Irrigation techniques due to long dry season are necessary and drainage systems are required in valleys with poor drainage. Intercropping is a common practice. Most important crops: banana, cassava, beans and maize.","Nyarugenge, Nyagatare,Gasabo, Gatsibo, Kicukiro, Rwamagana, Ngoma, Kirehe, Kayonza, Bugesera",,,,,,
Rice,Eastern Plateau & Eastern Savanna,"Driest region of Rwanda, especially Eastern Savanna and central Bugesera. Eastern Savanna is mostly used for pasture. Main limiting factors are lack of rainfall and long dry seasons. Varying land use potentials, where the most suitable cropland is found in the eastern valleys and around the Muhazi lake. Careful management to prevent erosion and restore soil nutrient balance is required to ensure sustainable crop production. Irrigation techniques due to long dry season are necessary and drainage systems are required in valleys with poor drainage. Intercropping is a common practice. Most important crops: banana, cassava, beans and maize.",1,9,31,10,no,80-100,plantlents/ha,90-120,Days,28,2,31,7,"Altitude varies between 1,250 and 1,600m. Annual rainfall is higher in the Eastern Plateau and Bugesera, ranging between 900 and 1,000mm, while in the Eastern Savanna annual rainfall remains below 900mm and is more erratic of nature. The average temperature is 21 ̊C and the dry season lasts for three to four months. Soils in the Eastern Plateau are humus-rich on the hill tops, but heavily eroded on the steep slopes that characterize the Eastern Plateau. The most suitable soils for agriculture in the Eastern Savanna are found in the large valleys that intersect the sloping landscape of the East.","Driest region of Rwanda, especially Eastern Savanna and central Bugesera. Eastern Savanna is mostly used for pasture. Main limiting factors are lack of rainfall and long dry seasons. Varying land use potentials, where the most suitable cropland is found in the eastern valleys and around the Muhazi lake. Careful management to prevent erosion and restore soil nutrient balance is required to ensure sustainable crop production. Irrigation techniques due to long dry season are necessary and drainage systems are required in valleys with poor drainage. Intercropping is a common practice. Most important crops: banana, cassava, beans and maize.","Nyarugenge, Nyagatare,Gasabo, Gatsibo, Kicukiro, Rwamagana, Ngoma, Kirehe, Kayonza, Bugesera",,,,,,
Rice,Eastern Plateau & Eastern Savanna,"Driest region of Rwanda, especially Eastern Savanna and central Bugesera. Eastern Savanna is mostly used for pasture. Main limiting factors are lack of rainfall and long dry seasons. Varying land use potentials, where the most suitable cropland is found in the eastern valleys and around the Muhazi lake. Careful management to prevent erosion and restore soil nutrient balance is required to ensure sustainable crop production. Irrigation techniques due to long dry season are necessary and drainage systems are required in valleys with poor drainage. Intercropping is a common practice. Most important crops: banana, cassava, beans and maize.",1,2,31,3,no,80-100,plantlents/ha,90-120,Days,1,5,30,6,"Altitude varies between 1,250 and 1,600m. Annual rainfall is higher in the Eastern Plateau and Bugesera, ranging between 900 and 1,000mm, while in the Eastern Savanna annual rainfall remains below 900mm and is more erratic of nature. The average temperature is 21 ̊C and the dry season lasts for three to four months. Soils in the Eastern Plateau are humus-rich on the hill tops, but heavily eroded on the steep slopes that characterize the Eastern Plateau. The most suitable soils for agriculture in the Eastern Savanna are found in the large valleys that intersect the sloping landscape of the East.","Driest region of Rwanda, especially Eastern Savanna and central Bugesera. Eastern Savanna is mostly used for pasture. Main limiting factors are lack of rainfall and long dry seasons. Varying land use potentials, where the most suitable cropland is found in the eastern valleys and around the Muhazi lake. Careful management to prevent erosion and restore soil nutrient balance is required to ensure sustainable crop production. Irrigation techniques due to long dry season are necessary and drainage systems are required in valleys with poor drainage. Intercropping is a common practice. Most important crops: banana, cassava, beans and maize.","Nyarugenge, Nyagatare,Gasabo, Gatsibo, Kicukiro, Rwamagana, Ngoma, Kirehe, Kayonza, Bugesera",,,,,,
Bean,Eastern Plateau & Eastern Savanna,"Driest region of Rwanda, especially Eastern Savanna and central Bugesera. Eastern Savanna is mostly used for pasture. Main limiting factors are lack of rainfall and long dry seasons. Varying land use potentials, where the most suitable cropland is found in the eastern valleys and around the Muhazi lake. Careful management to prevent erosion and restore soil nutrient balance is required to ensure sustainable crop production. Irrigation techniques due to long dry season are necessary and drainage systems are required in valleys with poor drainage. Intercropping is a common practice. Most important crops: banana, cassava, beans and maize.",15,9,31,10,no,40-70,kg/ha,90-120,Days,1,12,31,1,"Altitude varies between 1,250 and 1,600m. Annual rainfall is higher in the Eastern Plateau and Bugesera, ranging between 900 and 1,000mm, while in the Eastern Savanna annual rainfall remains below 900mm and is more erratic of nature. The average temperature is 21 ̊C and the dry season lasts for three to four months. Soils in the Eastern Plateau are humus-rich on the hill tops, but heavily eroded on the steep slopes that characterize the Eastern Plateau. The most suitable soils for agriculture in the Eastern Savanna are found in the large valleys that intersect the sloping landscape of the East.","Driest region of Rwanda, especially Eastern Savanna and central Bugesera. Eastern Savanna is mostly used for pasture. Main limiting factors are lack of rainfall and long dry seasons. Varying land use potentials, where the most suitable cropland is found in the eastern valleys and around the Muhazi lake. Careful management to prevent erosion and restore soil nutrient balance is required to ensure sustainable crop production. Irrigation techniques due to long dry season are necessary and drainage systems are required in valleys with poor drainage. Intercropping is a common practice. Most important crops: banana, cassava, beans and maize.","Nyarugenge, Nyagatare,Gasabo, Gatsibo, Kicukiro, Rwamagana, Ngoma, Kirehe, Kayonza, Bugesera",,,,,,
Bean,Eastern Plateau & Eastern Savanna,"Driest region of Rwanda, especially Eastern Savanna and central Bugesera. Eastern Savanna is mostly used for pasture. Main limiting factors are lack of rainfall and long dry seasons. Varying land use potentials, where the most suitable cropland is found in the eastern valleys and around the Muhazi lake. Careful management to prevent erosion and restore soil nutrient balance is required to ensure sustainable crop production. Irrigation techniques due to long dry season are necessary and drainage systems are required in valleys with poor drainage. Intercropping is a common practice. Most important crops: banana, cassava, beans and maize.",15,2,31,3,no,40-70,kg/ha,90-120,Days,1,5,30,6,"Altitude varies between 1,250 and 1,600m. Annual rainfall is higher in the Eastern Plateau and Bugesera, ranging between 900 and 1,000mm, while in the Eastern Savanna annual rainfall remains below 900mm and is more erratic of nature. The average temperature is 21 ̊C and the dry season lasts for three to four months. Soils in the Eastern Plateau are humus-rich on the hill tops, but heavily eroded on the steep slopes that characterize the Eastern Plateau. The most suitable soils for agriculture in the Eastern Savanna are found in the large valleys that intersect the sloping landscape of the East.","Driest region of Rwanda, especially Eastern Savanna and central Bugesera. Eastern Savanna is mostly used for pasture. Main limiting factors are lack of rainfall and long dry seasons. Varying land use potentials, where the most suitable cropland is found in the eastern valleys and around the Muhazi lake. Careful management to prevent erosion and restore soil nutrient balance is required to ensure sustainable crop production. Irrigation techniques due to long dry season are necessary and drainage systems are required in valleys with poor drainage. Intercropping is a common practice. Most important crops: banana, cassava, beans and maize.","Nyarugenge, Nyagatare,Gasabo, Gatsibo, Kicukiro, Rwamagana, Ngoma, Kirehe, Kayonza, Bugesera",,,,,,
Beet,Eastern Plateau & Eastern Savanna,"Driest region of Rwanda, especially Eastern Savanna and central Bugesera. Eastern Savanna is mostly used for pasture. Main limiting factors are lack of rainfall and long dry seasons. Varying land use potentials, where the most suitable cropland is found in the eastern valleys and around the Muhazi lake. Careful management to prevent erosion and restore soil nutrient balance is required to ensure sustainable crop production. Irrigation techniques due to long dry season are necessary and drainage systems are required in valleys with poor drainage. Intercropping is a common practice. Most important crops: banana, cassava, beans and maize.",15,9,31,10,no,70-90,kg/ha,100-120 ,Days,1,12,31,1,"Altitude varies between 1,250 and 1,600m. Annual rainfall is higher in the Eastern Plateau and Bugesera, ranging between 900 and 1,000mm, while in the Eastern Savanna annual rainfall remains below 900mm and is more erratic of nature. The average temperature is 21 ̊C and the dry season lasts for three to four months. Soils in the Eastern Plateau are humus-rich on the hill tops, but heavily eroded on the steep slopes that characterize the Eastern Plateau. The most suitable soils for agriculture in the Eastern Savanna are found in the large valleys that intersect the sloping landscape of the East.","Driest region of Rwanda, especially Eastern Savanna and central Bugesera. Eastern Savanna is mostly used for pasture. Main limiting factors are lack of rainfall and long dry seasons. Varying land use potentials, where the most suitable cropland is found in the eastern valleys and around the Muhazi lake. Careful management to prevent erosion and restore soil nutrient balance is required to ensure sustainable crop production. Irrigation techniques due to long dry season are necessary and drainage systems are required in valleys with poor drainage. Intercropping is a common practice. Most important crops: banana, cassava, beans and maize.","Nyarugenge, Nyagatare,Gasabo, Gatsibo, Kicukiro, Rwamagana, Ngoma, Kirehe, Kayonza, Bugesera",,,,,,
Beet,Eastern Plateau & Eastern Savanna,"Driest region of Rwanda, especially Eastern Savanna and central Bugesera. Eastern Savanna is mostly used for pasture. Main limiting factors are lack of rainfall and long dry seasons. Varying land use potentials, where the most suitable cropland is found in the eastern valleys and around the Muhazi lake. Careful management to prevent erosion and restore soil nutrient balance is required to ensure sustainable crop production. Irrigation techniques due to long dry season are necessary and drainage systems are required in valleys with poor drainage. Intercropping is a common practice. Most important crops: banana, cassava, beans and maize.",1,2,31,3,no,70-90,kg/ha,100-120 ,Days,1,5,30,6,"Altitude varies between 1,250 and 1,600m. Annual rainfall is higher in the Eastern Plateau and Bugesera, ranging between 900 and 1,000mm, while in the Eastern Savanna annual rainfall remains below 900mm and is more erratic of nature. The average temperature is 21 ̊C and the dry season lasts for three to four months. Soils in the Eastern Plateau are humus-rich on the hill tops, but heavily eroded on the steep slopes that characterize the Eastern Plateau. The most suitable soils for agriculture in the Eastern Savanna are found in the large valleys that intersect the sloping landscape of the East.","Driest region of Rwanda, especially Eastern Savanna and central Bugesera. Eastern Savanna is mostly used for pasture. Main limiting factors are lack of rainfall and long dry seasons. Varying land use potentials, where the most suitable cropland is found in the eastern valleys and around the Muhazi lake. Careful management to prevent erosion and restore soil nutrient balance is required to ensure sustainable crop production. Irrigation techniques due to long dry season are necessary and drainage systems are required in valleys with poor drainage. Intercropping is a common practice. Most important crops: banana, cassava, beans and maize.","Nyarugenge, Nyagatare,Gasabo, Gatsibo, Kicukiro, Rwamagana, Ngoma, Kirehe, Kayonza, Bugesera",,,,,,
"Pea, dry",Eastern Plateau & Eastern Savanna,"Driest region of Rwanda, especially Eastern Savanna and central Bugesera. Eastern Savanna is mostly used for pasture. Main limiting factors are lack of rainfall and long dry seasons. Varying land use potentials, where the most suitable cropland is found in the eastern valleys and around the Muhazi lake. Careful management to prevent erosion and restore soil nutrient balance is required to ensure sustainable crop production. Irrigation techniques due to long dry season are necessary and drainage systems are required in valleys with poor drainage. Intercropping is a common practice. Most important crops: banana, cassava, beans and maize.",1,9,15,10,no,120-150,kg/ha,90-120,Days,30,12,15,2,"Altitude varies between 1,250 and 1,600m. Annual rainfall is higher in the Eastern Plateau and Bugesera, ranging between 900 and 1,000mm, while in the Eastern Savanna annual rainfall remains below 900mm and is more erratic of nature. The average temperature is 21 ̊C and the dry season lasts for three to four months. Soils in the Eastern Plateau are humus-rich on the hill tops, but heavily eroded on the steep slopes that characterize the Eastern Plateau. The most suitable soils for agriculture in the Eastern Savanna are found in the large valleys that intersect the sloping landscape of the East.","Driest region of Rwanda, especially Eastern Savanna and central Bugesera. Eastern Savanna is mostly used for pasture. Main limiting factors are lack of rainfall and long dry seasons. Varying land use potentials, where the most suitable cropland is found in the eastern valleys and around the Muhazi lake. Careful management to prevent erosion and restore soil nutrient balance is required to ensure sustainable crop production. Irrigation techniques due to long dry season are necessary and drainage systems are required in valleys with poor drainage. Intercropping is a common practice. Most important crops: banana, cassava, beans and maize.","Nyarugenge, Nyagatare,Gasabo, Gatsibo, Kicukiro, Rwamagana, Ngoma, Kirehe, Kayonza, Bugesera",,,,,,
"Pea, dry",Eastern Plateau & Eastern Savanna,"Driest region of Rwanda, especially Eastern Savanna and central Bugesera. Eastern Savanna is mostly used for pasture. Main limiting factors are lack of rainfall and long dry seasons. Varying land use potentials, where the most suitable cropland is found in the eastern valleys and around the Muhazi lake. Careful management to prevent erosion and restore soil nutrient balance is required to ensure sustainable crop production. Irrigation techniques due to long dry season are necessary and drainage systems are required in valleys with poor drainage. Intercropping is a common practice. Most important crops: banana, cassava, beans and maize.",15,2,15,3,no,120-150,kg/ha,90-120,Days,31,5,15,7,"Altitude varies between 1,250 and 1,600m. Annual rainfall is higher in the Eastern Plateau and Bugesera, ranging between 900 and 1,000mm, while in the Eastern Savanna annual rainfall remains below 900mm and is more erratic of nature. The average temperature is 21 ̊C and the dry season lasts for three to four months. Soils in the Eastern Plateau are humus-rich on the hill tops, but heavily eroded on the steep slopes that characterize the Eastern Plateau. The most suitable soils for agriculture in the Eastern Savanna are found in the large valleys that intersect the sloping landscape of the East.","Driest region of Rwanda, especially Eastern Savanna and central Bugesera. Eastern Savanna is mostly used for pasture. Main limiting factors are lack of rainfall and long dry seasons. Varying land use potentials, where the most suitable cropland is found in the eastern valleys and around the Muhazi lake. Careful management to prevent erosion and restore soil nutrient balance is required to ensure sustainable crop production. Irrigation techniques due to long dry season are necessary and drainage systems are required in valleys with poor drainage. Intercropping is a common practice. Most important crops: banana, cassava, beans and maize.","Nyarugenge, Nyagatare,Gasabo, Gatsibo, Kicukiro, Rwamagana, Ngoma, Kirehe, Kayonza, Bugesera",,,,,,
Bergamot,Eastern Plateau & Eastern Savanna,"Driest region of Rwanda, especially Eastern Savanna and central Bugesera. Eastern Savanna is mostly used for pasture. Main limiting factors are lack of rainfall and long dry seasons. Varying land use potentials, where the most suitable cropland is found in the eastern valleys and around the Muhazi lake. Careful management to prevent erosion and restore soil nutrient balance is required to ensure sustainable crop production. Irrigation techniques due to long dry season are necessary and drainage systems are required in valleys with poor drainage. Intercropping is a common practice. Most important crops: banana, cassava, beans and maize.",15,3,15,9,no,"1,111",suckers/ha,12-15,Months,31,3,15,7,"Altitude varies between 1,250 and 1,600m. Annual rainfall is higher in the Eastern Plateau and Bugesera, ranging between 900 and 1,000mm, while in the Eastern Savanna annual rainfall remains below 900mm and is more erratic of nature. The average temperature is 21 ̊C and the dry season lasts for three to four months. Soils in the Eastern Plateau are humus-rich on the hill tops, but heavily eroded on the steep slopes that characterize the Eastern Plateau. The most suitable soils for agriculture in the Eastern Savanna are found in the large valleys that intersect the sloping landscape of the East.","Driest region of Rwanda, especially Eastern Savanna and central Bugesera. Eastern Savanna is mostly used for pasture. Main limiting factors are lack of rainfall and long dry seasons. Varying land use potentials, where the most suitable cropland is found in the eastern valleys and around the Muhazi lake. Careful management to prevent erosion and restore soil nutrient balance is required to ensure sustainable crop production. Irrigation techniques due to long dry season are necessary and drainage systems are required in valleys with poor drainage. Intercropping is a common practice. Most important crops: banana, cassava, beans and maize.","Nyarugenge, Nyagatare,Gasabo, Gatsibo, Kicukiro, Rwamagana, Ngoma, Kirehe, Kayonza, Bugesera",,,,,,
Cassava,Eastern Plateau & Eastern Savanna,"Driest region of Rwanda, especially Eastern Savanna and central Bugesera. Eastern Savanna is mostly used for pasture. Main limiting factors are lack of rainfall and long dry seasons. Varying land use potentials, where the most suitable cropland is found in the eastern valleys and around the Muhazi lake. Careful management to prevent erosion and restore soil nutrient balance is required to ensure sustainable crop production. Irrigation techniques due to long dry season are necessary and drainage systems are required in valleys with poor drainage. Intercropping is a common practice. Most important crops: banana, cassava, beans and maize.",1,1,31,12,no,"10,000",cuttings/ha,12 - 18,Months,1,1,31,12,"Altitude varies between 1,250 and 1,600m. Annual rainfall is higher in the Eastern Plateau and Bugesera, ranging between 900 and 1,000mm, while in the Eastern Savanna annual rainfall remains below 900mm and is more erratic of nature. The average temperature is 21 ̊C and the dry season lasts for three to four months. Soils in the Eastern Plateau are humus-rich on the hill tops, but heavily eroded on the steep slopes that characterize the Eastern Plateau. The most suitable soils for agriculture in the Eastern Savanna are found in the large valleys that intersect the sloping landscape of the East.","Driest region of Rwanda, especially Eastern Savanna and central Bugesera. Eastern Savanna is mostly used for pasture. Main limiting factors are lack of rainfall and long dry seasons. Varying land use potentials, where the most suitable cropland is found in the eastern valleys and around the Muhazi lake. Careful management to prevent erosion and restore soil nutrient balance is required to ensure sustainable crop production. Irrigation techniques due to long dry season are necessary and drainage systems are required in valleys with poor drainage. Intercropping is a common practice. Most important crops: banana, cassava, beans and maize.","Nyarugenge, Nyagatare,Gasabo, Gatsibo, Kicukiro, Rwamagana, Ngoma, Kirehe, Kayonza, Bugesera",,,,,,
"Beet, sugar",Eastern Plateau & Eastern Savanna,"Driest region of Rwanda, especially Eastern Savanna and central Bugesera. Eastern Savanna is mostly used for pasture. Main limiting factors are lack of rainfall and long dry seasons. Varying land use potentials, where the most suitable cropland is found in the eastern valleys and around the Muhazi lake. Careful management to prevent erosion and restore soil nutrient balance is required to ensure sustainable crop production. Irrigation techniques due to long dry season are necessary and drainage systems are required in valleys with poor drainage. Intercropping is a common practice. Most important crops: banana, cassava, beans and maize.",15,8,15,10,no,"30,000",cuttings/ha,100-150,Days,30,11,15,4,"Altitude varies between 1,250 and 1,600m. Annual rainfall is higher in the Eastern Plateau and Bugesera, ranging between 900 and 1,000mm, while in the Eastern Savanna annual rainfall remains below 900mm and is more erratic of nature. The average temperature is 21 ̊C and the dry season lasts for three to four months. Soils in the Eastern Plateau are humus-rich on the hill tops, but heavily eroded on the steep slopes that characterize the Eastern Plateau. The most suitable soils for agriculture in the Eastern Savanna are found in the large valleys that intersect the sloping landscape of the East.","Driest region of Rwanda, especially Eastern Savanna and central Bugesera. Eastern Savanna is mostly used for pasture. Main limiting factors are lack of rainfall and long dry seasons. Varying land use potentials, where the most suitable cropland is found in the eastern valleys and around the Muhazi lake. Careful management to prevent erosion and restore soil nutrient balance is required to ensure sustainable crop production. Irrigation techniques due to long dry season are necessary and drainage systems are required in valleys with poor drainage. Intercropping is a common practice. Most important crops: banana, cassava, beans and maize.","Nyarugenge, Nyagatare,Gasabo, Gatsibo, Kicukiro, Rwamagana, Ngoma, Kirehe, Kayonza, Bugesera",,,,,,
"Beans, harvested green",Impara & Kivu lake borders,Agricultural practices : Very suited for gravitational irrigation. Relatively reduced cropping cycle because temperature and humidity are favourable for crops. Extensive zone for bovine grazing because of availability of natural pastures. Zone for cultivation of upland rice and oil palm without irrigation.,15,9,15,10,yes,50-60,kg/ha,45-120,Days,15,11,15,12,"This region, together with the Imbo zone, comprises the area between lake Kivu on the West and the Mountainous Watershed Divide on the East. Altitudes vary from 1,300m to 1,900m and annual rainfall from 1,150 to 2,000mm, which generally increases with altitude. The region bordering lake Kivu experiences less rainfall (up to 1,300mm), where the centre is significantly drier compared to the North and South. Annual temperature varies between 18 and 21 ̊C. Lake Kivu has a smoothing effect on the soil temperature, which can exceed 22 ̊C. Overall, the clayey soils are moderately to highly fertile and suitable for cultivation of numerous traditional and industrial crops. Dry season varies between 1 to 3 months (June-August).","The mild climate  in the South in addition to the fine clayey soils in this region, creates good conditions for cultivation of many crops. Extending further North, moderately fertile soils on the gently sloping hillsides are alternated with strongly eroded, steep slopes. Erosion and loss of nutrients can be reduced with land management techniques, such as small terraces and intensive fertilisation. The main climatic limitations in this zone are leaching caused by intensive rainfall and heavily eroded soils on steep hillslopes. High population densities causes constraints to land availability and agricultural production. Most important crops: sweet potato, maize, groundnut, banana.","West Rutsiro, NW Karongi, northwestern half of Nyamasheke, Rusizi",Green beans are suitable for growing everywhere throughout the country,,,,,
"Beans, harvested green",Impara & Kivu lake borders,Agricultural practices : Very suited for gravitational irrigation. Relatively reduced cropping cycle because temperature and humidity are favourable for crops. Extensive zone for bovine grazing because of availability of natural pastures. Zone for cultivation of upland rice and oil palm without irrigation.,15,2,15,3,no,50-60,kg/ha,45-120,Days,1,1,1,1,"This region, together with the Imbo zone, comprises the area between lake Kivu on the West and the Mountainous Watershed Divide on the East. Altitudes vary from 1,300m to 1,900m and annual rainfall from 1,150 to 2,000mm, which generally increases with altitude. The region bordering lake Kivu experiences less rainfall (up to 1,300mm), where the centre is significantly drier compared to the North and South. Annual temperature varies between 18 and 21 ̊C. Lake Kivu has a smoothing effect on the soil temperature, which can exceed 22 ̊C. Overall, the clayey soils are moderately to highly fertile and suitable for cultivation of numerous traditional and industrial crops. Dry season varies between 1 to 3 months (June-August).","The mild climate  in the South in addition to the fine clayey soils in this region, creates good conditions for cultivation of many crops. Extending further North, moderately fertile soils on the gently sloping hillsides are alternated with strongly eroded, steep slopes. Erosion and loss of nutrients can be reduced with land management techniques, such as small terraces and intensive fertilisation. The main climatic limitations in this zone are leaching caused by intensive rainfall and heavily eroded soils on steep hillslopes. High population densities causes constraints to land availability and agricultural production. Most important crops: sweet potato, maize, groundnut, banana.","West Rutsiro, NW Karongi, northwestern half of Nyamasheke, Rusizi",Green beans are suitable for growing everywhere throughout the country,,,,,
"Beans, harvested green",Birunga,Agricultural practices : Very suited for gravitational irrigation. Relatively reduced cropping cycle because temperature and humidity are favourable for crops. Extensive zone for bovine grazing because of availability of natural pastures. Zone for cultivation of upland rice and oil palm without irrigation.,15,7,15,8,yes,50-60,kg/ha,45-120,Days,13,3,13,2,"Volcanic region with altitudes between 1,600 and 2,500m. Regular distributed rainfall, varying between 1,300 and 1,800mm and fertile, volcanic soils. The mean temperature is 17 ̊C.","Rich volcanic soils make this region suitable for cultivation of many high altitude crops. Soil depth is deep to moderate, but can be limited by bombs or lava, restricting these parts to forest, pasture or recreation. Apart from altitude, the main limitation for crop cultivation is shallow soil depth, which has been remedied by cultivation on small ridges created by ploughing or harrowing the fields. Main cultivated crops of this zone: potato, maize,beans and peas.","Rubavu, Musanze, NW of Nyabihu, Burera; North of lake Kivu",Green beans are suitable for growing everywhere throughout the country,,,,,
"Beans, harvested green",Birunga,Agricultural practices : Very suited for gravitational irrigation. Relatively reduced cropping cycle because temperature and humidity are favourable for crops. Extensive zone for bovine grazing because of availability of natural pastures. Zone for cultivation of upland rice and oil palm without irrigation.,15,12,15,1,no,50-60,kg/ha,45-120,Days,27,5,27,3,"Volcanic region with altitudes between 1,600 and 2,500m. Regular distributed rainfall, varying between 1,300 and 1,800mm and fertile, volcanic soils. The mean temperature is 17 ̊C.","Rich volcanic soils make this region suitable for cultivation of many high altitude crops. Soil depth is deep to moderate, but can be limited by bombs or lava, restricting these parts to forest, pasture or recreation. Apart from altitude, the main limitation for crop cultivation is shallow soil depth, which has been remedied by cultivation on small ridges created by ploughing or harrowing the fields. Main cultivated crops of this zone: potato, maize,beans and peas.","Rubavu, Musanze, NW of Nyabihu, Burera; North of lake Kivu",Green beans are suitable for growing everywhere throughout the country,,,,,
"Beans, harvested green",Congo-Nile Watershed Divide & Buberuka highlands,Agricultural practices : Very suited for gravitational irrigation. Relatively reduced cropping cycle because temperature and humidity are favourable for crops. Extensive zone for bovine grazing because of availability of natural pastures. Zone for cultivation of upland rice and oil palm without irrigation.,15,5,15,6,yes,50-60,kg/ha,45-120,Days,41,7,41,4,"This zone is characterized by highlands with altitudes varying between 1,900 and 2,300m. The Congo-Nile Watershed Divide is a mountainous ridge in the West of Rwanda that divides rivers on the West to drain into the Congo watershed and on the East side to drain into the Nile watershed. Annual rainfall in the North ranges from 1,700 to 2,000mm and in the East from 1,200 to 1,600mm. The exceptions are the tops of the Nyungwe forest mountains in the South, where annual rainfall exceeds 2,000mm. The Buberuka highlands in the North of Rwanda consist of high altitude plateaus that reach elevations of 2,300m. Annual rainfall is approximately 1,200mm and the dry season lasts for one to two months (June-July). Mean temperatures are between 15-18  ̊C. The soils of the Buberuka highlands are considerably more fertile than those of the Congo-Nile Watershed Divide.","Mostly rainfed crop production. High population density has caused a shifting in land use from forestry to agriculture in the Watershed Divide. Livestock is an important wealth indicator. The main limiting factors in this zone are high altitude (hence, lower temperatures) and slope steepness. Soil fertility is low and erosion risk high. Steep hillslopes are solely suitable for forestry. Management practices such as terracing and fertilisation can greatly improve the suitability for crops. Most important crops: potato, maize, beans, peas. ","East Rutsiro, East Karongi, SE Nyamasheke, Nyabihu, West Ngororero, West Nyamagabe, West Nyaruguru",Green beans are suitable for growing everywhere throughout the country,,,,,
